Come Together,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 8_min, 8_min, 6_1 , 6_1 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 8_min, 8_min, 6_1 , N ,,,,,,,
 10_maj . . 8_maj , 6_maj 8_maj ,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 8_min, 8_min, 6_1 , 6_1 ,,,,,,,
 10_maj . . 8_maj , 6_maj 8_maj ,,,,,,,,,
 1_min, 1_min,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 8_min, 8_min, 8_min, 8_min,,,,,,,
 1_min, 1_min,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 8_min, 8_min, 6_1 , 6_1 ,,,,,,,
 10_maj . . 8_maj , 6_maj 8_maj ,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min, 1_min,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Runaround Sue,,,,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 6_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 6_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, N ,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
A Hazy Shade Of Winter,,,,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 1_min, 12:maj, 12:maj, 9_maj, 9_maj, 4_maj, F:maj,,,
 12:maj, 12:maj, 12:maj, 12:maj,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 9_maj, 9_maj, 4_maj, 4_maj,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 9_maj, 9_maj, 4_maj, 4_maj,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 1_min, 6_min, 6_min,,,,,,,
 4_maj, 4_maj, 12:maj, 12:maj,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 9_maj, 9_maj, 4_maj, 4_maj,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
 1_min, 12:7 , 9_7 , 8_7 ,,,,,,,
0,,,,,,,,,,
All she wants is,,,,,,,,,,
 N , N , N , N , N , N ,,,,,
 N , N , N , N ,,,,,,,
 N , N , N , N , N , N ,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 N , N , N , N , N , N ,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
All she wants is,,,,,,,,,,
 N , N , N , N , N , N ,,,,,
 N , N , N , N ,,,,,,,
 N , N , N , N , N , N ,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 N , N , N , N , N , N ,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Along Comes A Woman,,,,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
