The Twist,,,,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_1 ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
The Twist,,,,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 8_maj , 6_maj , 1_maj , 1_1 ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
50 Ways To Leave Your Lover,,,,,,,,,,
 N , N , N , N ,,,,,,,
 1_min/b3 8_min , 0:maj7 8_7(b9) , 1_min 8_7/3 , 8_7/5 8_7(b9) ,,,,,,,
 1_min 8_min/b3 , 0:maj7 8_7(b9) , 1_min 6_min7 , 1_min ,,,,,,,
 1_min/b3 8_min/b3 , 0:maj7 8_7(b9) , 1_min 8_7/3 , 8_7/5 8_7(b9) ,,,,,,,
 1_min 8_min/b3 , 0:maj7 8_7(b9) , 1_min 6_min7 , 1_min ,,,,,,,
 1_min 6_min7 , 1_min ,,,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj ,,,,,,,,
 4_maj , 4_maj ,,,,,,,,,
 1_min/b3 8_min , 0:maj7 8_7(b9) , 1_min 8_7/3 , 8_7/5 8_7(b9) ,,,,,,,
 1_min 8_min/b3 , 0:maj7 8_7(b9) , 1_min 6_min7 , 1_min ,,,,,,,
 1_min/b3 8_min/b3 , 0:maj7 8_7(b9) , 1_min 8_7/3 , 8_7/5 8_7(b9) ,,,,,,,
 1_min 8_min/b3 , 0:maj7 8_7(b9) , 1_min 6_min7 , 1_min ,,,,,,,
 1_min 6_min7 , 1_min ,,,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj , 4_maj ,,,,,,,
 4_maj , 7_maj6 , 0:maj ,,,,,,,,
 N , N , N , N ,,,,,,,
 N , N , N , N , N ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
"Abraham, Martin And John",,,,,,,,,,
 1_maj 5_min , 3_min7 6_maj 1_maj . ,,,,,,,,,
" 1_maj . 8_sus4(b7,9) 8_maj ", 6_maj/5 ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 5_min7 , 3_min7 6_maj , 1_maj ,,,,,,,
 1_maj , 3_min7 , 5_min7 , 8_7 ,,,,,,,
 10_min , 5_min7 , 3_sus4 6_maj , 5_min7 ,,,,,,,
 3_min , 8_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 8_9 , 6_maj , 1_maj ,,,,,,,
 1_maj , 5_min7 , 3_min7 6_maj , 1_maj ,,,,,,,
 1_maj , 3_min7 , 5_min7 , 8_7 ,,,,,,,
 10_min , 5_min7 , 3_sus4 6_maj , 5_min7 ,,,,,,,
 3_min , 8_maj , 6_maj , 6_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 6_maj , 6_maj ,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 5_min7 , 3_min7 6_maj , 1_maj ,,,,,,,
 1_maj , 3_min7 , 5_min7 , 8_7 ,,,,,,,
 10_min , 5_min7 , 3_sus4 6_maj , 5_min7 ,,,,,,,
 3_min , 8_maj , 6_maj , 1_maj ,,,,,,,
 6_maj , 5_min7 , 3_sus4 6_maj , 5_min7 ,,,,,,,
 6_maj , 5_min7 , 3_sus4 6_maj , 3_sus4 6_maj ,,,,,,,
 1_maj , 1_maj , 8_min7 , 11_maj ,,,,,,,
 6_maj , 5_min7 ," 3_sus4(b7,9) ", 8_sus4 8_maj ,,,,,,,
 1_maj , 5_min7 , 3_min7 6_maj , 1_maj ,,,,,,,
 1_maj , 3_min7 , 5_min7 , 8_7 ,,,,,,,
 10_min , 5_min7 , 3_sus4 6_maj , 5_min7 ,,,,,,,
 3_min , 8_maj , 10_min , 6_maj ,,,,,,,
