3,Quarter To Three,,,,,,,,,,
3,0,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Everybody Loves Somebody,,,,,,,,,,
3, 8_7 , 8_7 ,,,,,,,,,
3, N . . . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . . 2_maj/b5 , 1_maj . 3_min/11 2_maj/b5 ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
3, 1_7 . . . , 1_7 . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
3, 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
3, 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min ," 8_7(b9,b13) ",,,,,,,,
3, 1_maj . 1_aug . , 1_maj . . . ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Almost by Being In Love,,,,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
