Quarter To Three,,,,,,,,,,
0,,,,,,,,,,
 N , N , N , N ,,,,,,,
 N , N , N , N ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Everybody Loves Somebody,,,,,,,,,,
 8_7 , 8_7 ,,,,,,,,,
 N . . . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . . 2_maj/b5 , 1_maj . 3_min/11 2_maj/b5 ,,,,,,,
 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
 1_7 . . . , 1_7 . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
 1_maj . . . , 1_maj . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
