He's A Rebel,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 10_min , 6_maj , 0:maj , 0:maj ,,,,,,,
He's A Rebel,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 10_min , 6_maj , 0:maj , 0:maj ,,,,,,,
These Boots Are Made For Walkin',,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 6_maj , 6_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 4_maj 1_maj , 4_maj 1_maj ,,,,,,,,,
 4_maj 1_maj , (2/4) N ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 6_maj , 6_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 4_maj 1_maj , 4_maj 1_maj ,,,,,,,,,
 4_maj 1_maj , (2/4) N ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 6_maj , 6_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 4_maj 1_maj , 4_maj 1_maj ,,,,,,,,,
 4_maj 1_maj , (2/4) N ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
People Got To Be Free,,,,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , 0:maj 1_maj ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , (2/4) 0:maj ,,,,,,,
 (4/4) 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 0:maj , 10_min , 5_min ,,,,,,,
 6_maj , 1_maj , N , N ,,,,,,,
 1_maj , 0:maj , 10_min , 5_min ,,,,,,,
 6_maj , 1_maj , N , N ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , 0:maj 1_maj ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , (2/4) 0:maj ,,,,,,,
 (4/4) 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 0:maj , 10_min , 5_min ,,,,,,,
 6_maj , 1_maj , N , N ,,,,,,,
 1_maj , 0:maj , 10_min , 5_min ,,,,,,,
 6_maj , 1_maj , N , N ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , 0:maj 1_maj ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , (2/4) 0:maj ,,,,,,,
 (4/4) 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 4_maj , 9_maj , 0:maj ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , 0:maj 1_maj ,,,,,,,
 6_maj 1_maj , 0:maj 1_maj , 6_maj 1_maj , (2/4) 0:maj ,,,,,,,
 (4/4) 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 0:maj , 1_maj , 0:maj ,,,,,,,
 1_maj , 0:maj , 1_maj , 0:maj , 1_maj , 0:maj ,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
After The Love Has Gone,,,,,,,,,,
0,,,,,,,,,,
 1_maj/5 5_min7 , 6_maj(9) 0:sus4(b7) ,,,,,,,,,
 1_maj . 3_min7 1_maj/3 , 6_maj7 . 3_min7 0:sus4(b7) ,,,,,,,,,
 1_maj(9) 6_min , 1_maj(9) 6_min6 ,,,,,,,,,
 1_maj(9) . . 7_7(#11) , 6_min7(11) 4_maj7/3 ,,,,,,,,,
 1_maj(9) 6_min6 , 1_maj(9) 6_min6 ,,,,,,,,,
 1_maj(9) 7_7(#11) 6_min7(11) . , 9_maj9 , 1_maj/5 ,,,,,,,,
 1_maj(9) 6_min6 , 1_maj(9) 6_min6 ,,,,,,,,,
 1_maj(9) 7_7(#11) 6_min7(11) . , 9_maj9 , 1_maj/5 ,,,,,,,,
 1_maj(9) 1_aug(9) , 1_maj(9) 5_min7 ,,,,,,,,,
 10_min 6_maj7 , 11_maj7 . 6_maj/9 0:7 ,,,,,,,,,
 1_maj(9) 1_aug(9) , 1_maj(9) 5_min7 ,,,,,,,,,
 10_min9 6_sus2 , 11_maj9 . 0:sus4(b7) 7_aug ,,,,,,,,,
 6_maj9 . 5_min7 10_min7 ," 3_min9 . 1_maj9 7_sus4(b7,9) ",,,,,,,,,
 12_maj9 . 4_min7/5 4_min7 , (2/4) 9_min9 , 7_maj9 ,,,,,,,,
 0:min9 1_min9 , 6_min9 4_maj6/5 ,,,,,,,,,
 4_min9 2_maj/5 , 2_maj9 . 4_min7 6_min7 ,,,,,,,,,
